user_id,product_id
AE22E2AXODSPNK3EBIHNGYS5LOSA,B0B31FR4Y2
AE22MK2NXQD3ZARLIOL3SLD4GU6A,B0B8XNPQPN
AE22Y3KIS7SE6LI3HE2VS6WWPU4Q,B07ZR4S1G4
AE23RS3W7GZO7LHYKJU6KSKVM4MQ,B00HVXS7WC
AE23WGYTUMB5R6JJMBU4V43JIW7Q,B09163Q5CD
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,B09XJ1LM7R
AE243IWFZJ3BB6E6WMUG52DHWJVA,B06XR9PR5X
AE24UFIVBSESSEV7UALTKP7K5Z4A,B09Y358DZQ
AE26ZTVZB6CB4VML6JSTYTL2QG6A,B09VGS66FV
AE27PFEMMMJS44GT27KPL6VUOQUQ,B07YWS9SP9
AE27QPJRG7545VJX7LYRK2EO3I4Q,B08235JZFB
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B09V2Q4QVQ
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B09V2PZDX8
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B09YDFDVNS
AE27UOZENYSWCQVQRRUQIV2ZM7VA,B09YDFKJF8
AE2AQ2I2SHITDWZ4YERKOBFU4KGA,B07WGPBXY9
AE2BXTBQXZ54NAE4NYNFSBR2WREA,B097C564GC
AE2BZUBJGOBQS2A3U66VXDUV5FRQ,B07924P3C5
AE2CMOCWNJRTN53KESNTBUNXV37A,B09DSQXCM8
AE2E632GMYL5U2ESNXOX5UT5D34A,B094JNXNPV
AE2E632GMYL5U2ESNXOX5UT5D34A,B094JNXNPV
AE2EO67O5G5BPFX5QGUUBOF22LQQ,B08HV83HL3
AE2EO67O5G5BPFX5QGUUBOF22LQQ,B08HVL8QN3
AE2EO67O5G5BPFX5QGUUBOF22LQQ,B08HVJCW95
AE2FPXNWO4ROL5WOAVLZWUE4OIAQ,B086199CWG
AE2H52BMLK7G66D6ALAYEQHW37PQ,B0B2DJ5RVQ
AE2HYLZSTHIFFYG2VTQEUMEZJNWQ,B08JV91JTK
AE2IJXBP54QRMOS6COSQSEWEJ6TA,B09M8888DM
AE2IPM7LGWZM72PWXD7DG2OJAEJQ,B081B1JL35
AE2IURVHTZIHYVJSWHTXDKEF3QOA,B06XMZV7RH
AE2JTMRKTUOIVIZWS2WDGTMNTU4Q,B084MZXJNK
AE2JTMRKTUOIVIZWS2WDGTMNTU4Q,B084N133Y7
AE2KS6ZY376YMGX7RNKV7VXUEGFQ,B09ZHCJDP1
AE2KY7GO5HPPGPTMF2M5Q2GT7AXA,B07VQGVL68
AE2LOPNSKMI6BX2SCFLMGUOITKIA,B00JBNZPFM
AE2LUQX7TDOHRQ6KSHCG46LFH2SQ,B07SRM58TP
AE2MJ6XVIE6OPT647IMTCCL234MA,B01KCSGBU2
AE2MN74BM246562VMYFMSEFSTAJQ,B08FY4FG5X
AE2MUYHXVNFPILOIZ6T7B72BCR6A,B09F6KL23R
AE2NBVHMJEM7COMHX2XJ4UPZ7D7Q,B09BF8JBWX
AE2NS3LUBQ33MFLYXAFBOTZOUO5Q,B07RY2X9MP
AE2O7ZDZY2IUTJCPPMM5IBEO2LRQ,B07SPVMSC6
AE2ODWBBOBD2SITDDIEJ644OSRFQ,B0B6F7LX4C
AE2ODWBBOBD2SITDDIEJ644OSRFQ,B0B6F98KJJ
AE2ODWBBOBD2SITDDIEJ644OSRFQ,B0B6F8HHR6
AE2ODWBBOBD2SITDDIEJ644OSRFQ,B09HQSV46W
AE2ODWBBOBD2SITDDIEJ644OSRFQ,B0B8CXTTG3
AE2OFVZSIE6KSBAPG6GMKCER35LA,B07DJLFMPS
AE2OFVZSIE6KSBAPG6GMKCER35LA,B07DJLFMPS
AE2PQX6JEE6UW7QB6SNEYP3TAXLQ,B015OW3M1W
AE2PYPC3OF2HEF4NCE63FBFFFOMQ,B09L8DSSFH
AE2QCA6OGX2KOV5CKDSU2S35R4LQ,B09ZTZ9N3Q
AE2QGBWD4NHT3VTKAS4TCZY6S7DA,B00MFPCY5C
AE2QS54KQW357EMHTCIX34UBB2TA,B09ND94ZRG
AE2SWHFUXPXFJLITBNYV5YGTI5LQ,B082T6GVG9
AE2SX6NXG2KPPA4PPOG6ZXAO4XRA,B09Y5FZK9N
AE2SYKBDNNE4PVOOYME4HQILKXTA,B0846D5CBP
AE2THTCCQLBIUSWPF4CPXC6GGP7Q,B0B6F7LX4C
AE2THTCCQLBIUSWPF4CPXC6GGP7Q,B0B6F98KJJ
AE2THTCCQLBIUSWPF4CPXC6GGP7Q,B0B6F8HHR6
AE2THTCCQLBIUSWPF4CPXC6GGP7Q,B09HQSV46W
AE2THTCCQLBIUSWPF4CPXC6GGP7Q,B0B8CXTTG3
AE2TS2DBYLAJ5WY6FFWFNXFY24SQ,B07WDKLDRX
AE2TSJXRS5BXE6X7WFS7HOFJKCOQ,B0B2PQL5N3
AE2TW6ATJ4SP2DNK4TH4DFYENOBA,B09FPP3R1D
AE2VJTZLXNBNDNLTOJERY75Z3UFA,B06XR9PR5X
AE2VXY4CFO36MDSIMPG43XHNF4GA,B008IFXQFU
AE2VXY4CFO36MDSIMPG43XHNF4GA,B0088TKTY2
AE2VXY4CFO36MDSIMPG43XHNF4GA,B002SZEOLG
AE2WCZU5RXVCKNUTUJ4HCDTLU6OA,B0BD3T6Z1D
AE2WVSMP7ZOFNGQWHUPQNRZHLOVQ,B07H3N8RJH
AE2X3X56PWZY32QSRKVU4VOIKDIA,B08K36NZSV
AE2XBDOYDMXVHS6NWFKR363SXNEQ,B0B2931FCV
AE2XMB6CEF4SCPYQI75GHNYEAXIA,B07KNM95JK
AE2XSRIZGIHUEHFRYKTLVQIKYFKA,B09G2VTHQM
AE2YKXGI2XFOVDHNL6FF2RQAZ55A,B081FG1QYX
AE2YKXGI2XFOVDHNL6FF2RQAZ55A,B09Q8WQ5QJ
AE2YKXGI2XFOVDHNL6FF2RQAZ55A,B081FJWN52
AE2YPAMPW3WE3EY6YUGZTOVDZMEQ,B0856HY85J
AE2Z7NYPJLUYMZ3GNEMYZ5RDRM6A,B0BD3T6Z1D
AE33HJDC2ZFONU6UHWESJ4GJ25ZQ,B0977CGNJJ
AE33MAZWYRVAAICGNACZAIWACK7Q,B07RD611Z8
AE33MAZWYRVAAICGNACZAIWACK7Q,B07RD611Z8
AE343V2CIFDUDQORRTJSRI6PXNYQ,B00B3VFJY2
AE34CJ4WMOVB26TU5H42L74U5DGA,B00LHZWD0C
AE35FM3ZVTBEQGYDRYS6BVM65J5A,B098JYT4SY
